Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
12164,,,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Waiting,Container Move,12/2/22 11:57 AM,,,,
12163,,,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Waiting,Container Move,12/2/22 11:57 AM,,,,
12162,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-WIP,Completed,Replenishment,12/2/22 11:46 AM,12/2/22 11:48 AM,12/2/22 11:53 AM,04:36,0
12161,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 11:43 AM,12/2/22 11:48 AM,12/2/22 11:48 AM,00:01,0
12160,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 11:40 AM,12/2/22 11:40 AM,12/2/22 11:48 AM,08:09,0
12159,Linde 11,Linde 11,Assembly-3,84131-T20-A110-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 11:35 AM,12/2/22 11:37 AM,12/2/22 11:37 AM,00:06,0
12158,Linde 11,Linde 11,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 11:29 AM,12/2/22 11:37 AM,12/2/22 11:37 AM,00:01,0
12157,Linde 11,Linde 11,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 11:26 AM,12/2/22 11:37 AM,12/2/22 11:37 AM,00:01,0
12156,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 11:19 AM,12/2/22 11:20 AM,12/2/22 11:20 AM,00:01,0
12155,Linde 17,Linde 17,Assembly-17,74110-T20-A000-MAP,Completed,F/G Put Away,12/2/22 11:13 AM,12/2/22 11:13 AM,12/2/22 11:20 AM,07:10,42
12154,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 11:05 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12153,Linde 11,Linde 11,Assembly-5,84101-T20-A213-22-NH900L-WIP,Completed,Replenishment,12/2/22 11:00 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:04,0
12152,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 11:00 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12151,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:58 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12150,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,Container Move,12/2/22 10:54 AM,12/2/22 11:01 AM,12/2/22 11:01 AM,00:01,0
12149,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:54 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12148,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:47 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12147,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12146,Linde 11,Linde 11,Assembly-5,84101-T20-A210-23-NH882L,Completed,Replenishment,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12145,Linde 11,Linde 11,Assembly-4,84151-T20-C010-M1-NH882L-HMI,Completed,F/G Put Away,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12144,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12143,Linde 17,Linde 17,Assembly-10,71141-T20-A610-M1-NH696L-WIP,Completed,Replenishment,12/2/22 10:43 AM,12/2/22 10:43 AM,12/2/22 10:44 AM,00:01,0
12142,Linde 11,Linde 11,Assembly-5,84101-T20-A210-M1-NH882L-HCM,Completed,Container Move,12/2/22 10:43 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:15,0
12141,Linde 11,Linde 11,Assembly-5,84101-T20-A115-C1-NH882L-WIP,Completed,Replenishment,12/2/22 10:41 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12140,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,Container Move,12/2/22 10:39 AM,12/2/22 10:39 AM,12/2/22 10:39 AM,00:01,0
12139,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12138,Linde 11,Linde 11,Assembly-6,84161-T20-A012-21-NH900L-WIP,Completed,Replenishment,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12137,Linde 11,Linde 11,Assembly-3,84131-T20-A110-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12136,Linde 11,Linde 11,Assembly-3,84133-T20-A012-M1-NH882L-WIP,Completed,Replenishment,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12135,Linde 17,Linde 17,Assembly-17,74110-T20-A000-MAP,Completed,Container Move,12/2/22 10:37 AM,12/2/22 10:37 AM,12/2/22 10:37 AM,00:01,0
12134,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:36 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12133,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:32 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12132,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:27 AM,12/2/22 10:28 AM,12/2/22 10:28 AM,00:02,0
12131,Linde 15,Linde 15,Assembly-5,84101-T20-A210-M1-NH882L-HCM,Completed,Container Move,12/2/22 10:24 AM,12/2/22 11:00 AM,12/2/22 11:02 AM,02:04,0
12130,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,F/G Put Away,12/2/22 10:22 AM,12/2/22 10:28 AM,12/2/22 10:28 AM,00:01,0
12129,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-WIP,Completed,Replenishment,12/2/22 10:20 AM,12/2/22 10:28 AM,12/2/22 10:28 AM,00:03,0
12128,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:18 AM,12/2/22 10:50 AM,12/2/22 10:57 AM,06:39,0
12127,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:18 AM,12/2/22 10:48 AM,12/2/22 11:00 AM,11:55,0
12126,Linde 11,Linde 11,Assembly-7,84111-T20-A012-21-NH900L-WIP,Completed,Replenishment,12/2/22 10:16 AM,12/2/22 10:42 AM,12/2/22 10:48 AM,06:07,0
12125,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:16 AM,12/2/22 10:41 AM,12/2/22 10:42 AM,00:46,0
12124,Linde 17,Linde 17,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 10:14 AM,12/2/22 10:15 AM,12/2/22 10:15 AM,00:01,0
12123,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,12/2/22 10:14 AM,12/2/22 10:40 AM,12/2/22 10:40 AM,00:01,0
12122,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,Container Move,12/2/22 10:10 AM,12/2/22 10:10 AM,12/2/22 10:10 AM,00:01,0
12121,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:10 AM,12/2/22 10:40 AM,12/2/22 10:40 AM,00:01,0
12120,Linde 11,Linde 11,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:09 AM,12/2/22 10:40 AM,12/2/22 10:40 AM,00:04,0
12119,Linde 17,Linde 17,Assembly-17,74114-T20-A004,Completed,Replenishment,12/2/22 10:08 AM,12/2/22 10:10 AM,12/2/22 10:10 AM,00:01,0
12118,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:08 AM,12/2/22 10:10 AM,12/2/22 10:10 AM,00:01,0
12117,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:06 AM,12/2/22 10:39 AM,12/2/22 10:40 AM,01:24,0
12116,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:01 AM,12/2/22 10:39 AM,12/2/22 10:39 AM,00:04,0
12115,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 09:59 AM,12/2/22 10:38 AM,12/2/22 10:39 AM,01:01,0
12114,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,Container Move,12/2/22 09:57 AM,12/2/22 09:57 AM,12/2/22 10:03 AM,05:58,308
12113,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 09:57 AM,12/2/22 10:38 AM,12/2/22 10:38 AM,00:01,0
12112,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 09:55 AM,12/2/22 10:36 AM,12/2/22 10:39 AM,02:59,0
12111,Linde 17,Linde 17,Assembly-17,74110-T20-A000-MAP,Completed,Container Move,12/2/22 09:53 AM,12/2/22 09:53 AM,12/2/22 09:53 AM,00:01,0
12110,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,12/2/22 09:53 AM,12/2/22 10:33 AM,12/2/22 10:36 AM,03:02,0
12109,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 09:49 AM,12/2/22 09:49 AM,12/2/22 09:49 AM,00:01,0
12108,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 09:49 AM,12/2/22 10:32 AM,12/2/22 10:38 AM,05:23,0
12107,Linde 11,Linde 11,Assembly-6,84161-T20-A012-22-NH900L-WIP,Completed,Replenishment,12/2/22 09:47 AM,12/2/22 10:32 AM,12/2/22 10:32 AM,00:02,0
12106,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,Container Move,12/2/22 09:45 AM,12/2/22 09:45 AM,12/2/22 09:45 AM,00:01,0
12105,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 09:45 AM,12/2/22 10:32 AM,12/2/22 10:32 AM,00:01,0
12104,Linde 11,Linde 11,Assembly-5,84101-T20-A110-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 09:45 AM,12/2/22 10:30 AM,12/2/22 10:32 AM,02:08,0
12103,Linde 11,Linde 11,Assembly-4,84151-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 09:45 AM,12/2/22 10:23 AM,12/2/22 10:23 AM,00:01,0
12102,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,Container Move,12/2/22 09:43 AM,12/2/22 09:43 AM,12/2/22 09:44 AM,00:01,0
12101,Linde 17,Linde 17,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 09:41 AM,12/2/22 09:41 AM,12/2/22 09:41 AM,00:02,0
12100,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 09:41 AM,12/2/22 10:19 AM,12/2/22 10:23 AM,04:13,0
12099,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 09:39 AM,12/2/22 10:19 AM,12/2/22 10:19 AM,00:01,0
12098,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 09:39 AM,12/2/22 10:19 AM,12/2/22 10:19 AM,00:02,0
12097,Linde 15,Linde 15,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 09:39 AM,12/2/22 10:14 AM,12/2/22 10:21 AM,06:05,0
12096,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 09:35 AM,12/2/22 10:14 AM,12/2/22 10:14 AM,00:01,0
12095,Linde 15,Linde 15,Assembly-5,84101-T20-A110-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 09:31 AM,12/2/22 10:14 AM,12/2/22 10:14 AM,00:01,0
12094,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 09:29 AM,12/2/22 09:29 AM,12/2/22 09:29 AM,00:01,0
12093,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 09:27 AM,12/2/22 10:11 AM,12/2/22 10:13 AM,02:51,0
12092,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 09:25 AM,12/2/22 10:06 AM,12/2/22 10:08 AM,02:46,0
12091,Linde 15,Linde 15,Assembly-5,84101-T20-A110-21-NH882L-WIP,Completed,Replenishment,12/2/22 09:25 AM,12/2/22 10:02 AM,12/2/22 10:05 AM,02:32,0
12090,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 09:25 AM,12/2/22 09:52 AM,12/2/22 09:52 AM,00:01,0
12089,Linde 15,Linde 15,Assembly-4,84151-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 09:23 AM,12/2/22 09:50 AM,12/2/22 10:00 AM,10:12,0
12088,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-WIP,Completed,Replenishment,12/2/22 09:21 AM,12/2/22 09:43 AM,12/2/22 09:52 AM,09:23,0
12087,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 09:14 AM,12/2/22 09:43 AM,12/2/22 09:43 AM,00:01,0
12086,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 09:11 AM,12/2/22 09:43 AM,12/2/22 09:43 AM,00:03,0
12085,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 09:11 AM,12/2/22 09:43 AM,12/2/22 09:43 AM,00:01,0
12084,Linde 11,Linde 11,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 09:04 AM,12/2/22 09:36 AM,12/2/22 09:43 AM,06:50,0
12083,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:56 AM,12/2/22 08:56 AM,12/2/22 08:56 AM,00:01,0
12082,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,Container Move,12/2/22 08:54 AM,12/2/22 08:54 AM,12/2/22 08:54 AM,00:01,0
12081,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 08:46 AM,12/2/22 09:36 AM,12/2/22 09:36 AM,00:02,0
12080,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 08:40 AM,12/2/22 09:36 AM,12/2/22 09:43 AM,07:33,759
12079,Linde 11,Linde 11,Assembly-4,84151-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 08:38 AM,12/2/22 09:35 AM,12/2/22 09:36 AM,00:02,0
12078,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:37 AM,12/2/22 08:37 AM,12/2/22 08:37 AM,00:01,0
12077,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH882L-HCM,Completed,Container Move,12/2/22 08:36 AM,12/2/22 09:35 AM,12/2/22 09:35 AM,00:01,0
12076,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:36 AM,12/2/22 09:33 AM,12/2/22 09:35 AM,02:20,26
12075,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 08:34 AM,12/2/22 09:31 AM,12/2/22 09:33 AM,01:52,0
12074,Linde 17,Linde 17,Assembly-13,74415-T20-A000-MAP,Completed,F/G Put Away,12/2/22 08:31 AM,12/2/22 08:31 AM,12/2/22 08:31 AM,00:01,0
12073,Linde 15,Linde 15,Assembly-5,84101-T20-C010-M1-NH882L-HMI,Completed,F/G Put Away,12/2/22 08:30 AM,12/2/22 09:23 AM,12/2/22 09:30 AM,06:12,73
12072,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:26 AM,12/2/22 09:12 AM,12/2/22 09:12 AM,00:02,0
12071,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 08:20 AM,12/2/22 08:47 AM,12/2/22 08:53 AM,06:08,10
12070,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C2-NH882L-WIP,Completed,Replenishment,12/2/22 08:20 AM,12/2/22 08:41 AM,12/2/22 09:12 AM,30:47,0
12069,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:20 AM,12/2/22 08:41 AM,12/2/22 08:41 AM,00:04,0
12068,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:18 AM,12/2/22 08:19 AM,12/2/22 08:19 AM,00:02,0
12067,Linde 17,Linde 17,Assembly-10,84121-T20-A000-AA-NH900L-MAP,Completed,F/G Put Away,12/2/22 08:14 AM,12/2/22 08:15 AM,12/2/22 08:15 AM,00:01,0
12066,Linde 11,Linde 11,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 08:14 AM,12/2/22 08:41 AM,12/2/22 08:41 AM,00:01,0
12065,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH882L-HCM,Completed,Container Move,12/2/22 08:12 AM,12/2/22 08:30 AM,12/2/22 08:47 AM,16:18,0
12064,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 08:10 AM,12/2/22 08:30 AM,12/2/22 08:41 AM,11:06,0
12063,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 08:08 AM,12/2/22 08:30 AM,12/2/22 08:30 AM,00:01,0
12062,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 08:06 AM,12/2/22 08:26 AM,12/2/22 08:27 AM,01:16,0
12061,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,F/G Put Away,12/2/22 08:03 AM,12/2/22 08:10 AM,12/2/22 08:10 AM,00:02,0
12060,Linde 17,Linde 17,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 08:01 AM,12/2/22 08:10 AM,12/2/22 08:10 AM,00:01,0
12059,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 07:59 AM,12/2/22 08:10 AM,12/2/22 08:10 AM,00:01,0
12058,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 07:58 AM,12/2/22 08:26 AM,12/2/22 08:26 AM,00:02,0
12057,Linde 17,Linde 17,Assembly-17,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 07:57 AM,12/2/22 08:00 AM,12/2/22 08:00 AM,00:01,0
12056,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:52 AM,12/2/22 08:26 AM,12/2/22 08:26 AM,00:01,0
12055,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH882L-HMI,Completed,F/G Put Away,12/2/22 07:48 AM,12/2/22 08:26 AM,12/2/22 08:26 AM,00:01,0
12054,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:48 AM,12/2/22 08:20 AM,12/2/22 08:22 AM,01:57,0
12053,Linde 15,Linde 15,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 07:44 AM,12/2/22 08:16 AM,12/2/22 08:20 AM,03:49,28
12052,Linde 17,Linde 17,Assembly-10,84121-T20-A000-AA-NH900L-MAP,Completed,F/G Put Away,12/2/22 07:43 AM,12/2/22 07:43 AM,12/2/22 07:43 AM,00:04,0
12051,Linde 11,Linde 11,Assembly-5,84101-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 07:42 AM,12/2/22 08:03 AM,12/2/22 08:26 AM,22:51,0
12050,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HMI,Completed,Container Move,12/2/22 07:42 AM,12/2/22 07:58 AM,12/2/22 08:08 AM,10:31,62
12049,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C2-NH882L-WIP,Completed,Replenishment,12/2/22 07:39 AM,12/2/22 07:58 AM,12/2/22 08:03 AM,05:15,0
12048,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:38 AM,12/2/22 07:55 AM,12/2/22 07:57 AM,01:18,0
12047,Linde 15,Linde 15,Assembly-1,84505-T20-A110-M1-NH900L-WIP,Completed,Replenishment,12/2/22 07:38 AM,12/2/22 07:54 AM,12/2/22 07:55 AM,01:04,0
12046,Linde 17,Linde 17,Assembly-17,74110-T20-A100-HCM,Completed,F/G Put Away,12/2/22 07:37 AM,12/2/22 07:41 AM,12/2/22 07:41 AM,00:01,0
12045,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:37 AM,12/2/22 07:41 AM,12/2/22 07:41 AM,00:02,0
12044,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 07:35 AM,12/2/22 07:53 AM,12/2/22 07:53 AM,00:01,0
12043,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH882L-HMI,Completed,F/G Put Away,12/2/22 07:33 AM,12/2/22 07:53 AM,12/2/22 07:53 AM,00:02,0
12042,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,Container Move,12/2/22 07:29 AM,12/2/22 07:41 AM,12/2/22 07:41 AM,00:08,0
12041,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:28 AM,12/2/22 07:49 AM,12/2/22 07:49 AM,00:21,0
12040,Linde 17,Linde 17,Assembly-15,74157-T20-A001,Completed,Replenishment,12/2/22 07:27 AM,12/2/22 07:41 AM,12/2/22 07:41 AM,00:01,0
12039,Linde 15,Linde 15,Assembly-8,84191-T20-A010-M1-NH900L-WIP,Completed,Replenishment,12/2/22 07:26 AM,12/2/22 07:48 AM,12/2/22 07:48 AM,00:01,0
12038,Linde 11,Linde 11,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:26 AM,12/2/22 07:27 AM,12/2/22 07:31 AM,03:59,0
12037,Linde 11,Linde 11,Assembly-4,84151-T20-A110-M1-NH900L-HMI,Completed,Container Move,12/2/22 07:22 AM,12/2/22 07:27 AM,12/2/22 07:27 AM,00:02,0
12036,Linde 11,Linde 11,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 07:17 AM,12/2/22 07:27 AM,12/2/22 07:27 AM,00:01,0
12035,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 07:15 AM,12/2/22 07:15 AM,12/2/22 07:23 AM,08:26,0
12034,Linde 11,Linde 11,Assembly-10,84121-T20-A000-AA-NH900L-MAP,Completed,F/G Put Away,12/2/22 06:43 AM,12/2/22 07:12 AM,12/2/22 07:12 AM,00:01,0
12033,Linde 11,Linde 11,Assembly-5,84101-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 06:42 AM,12/2/22 07:10 AM,12/2/22 07:11 AM,01:04,0
12032,Linde 11,Linde 11,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 06:32 AM,12/2/22 06:34 AM,12/2/22 06:34 AM,00:01,0
12031,Linde 11,Linde 11,Assembly-16,74110-T20-A000-HCM,Completed,Container Move,12/2/22 06:21 AM,12/2/22 06:22 AM,12/2/22 06:22 AM,00:01,0
12030,Linde 11,Linde 11,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 06:20 AM,12/2/22 06:21 AM,12/2/22 06:21 AM,00:01,0
12029,Linde 11,Linde 11,Assembly-5,84101-T20-A210-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 06:15 AM,12/2/22 06:16 AM,12/2/22 06:16 AM,00:01,0
12028,Linde 11,Linde 11,Assembly-11,77300-T20-A010-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 05:51 AM,12/2/22 05:55 AM,12/2/22 05:58 AM,03:35,0
12027,Linde 11,Linde 11,Assembly-16,74110-T20-A000-HCM,Completed,F/G Put Away,12/2/22 05:45 AM,12/2/22 05:46 AM,12/2/22 05:46 AM,00:01,0
12026,Linde 11,Linde 11,Assembly-14,74465-T20-A000-HCM,Completed,F/G Put Away,12/2/22 05:43 AM,12/2/22 05:44 AM,12/2/22 05:44 AM,00:01,0
12025,Linde 11,Linde 11,Assembly-11,77300-T20-A010-M1-NH900L-HMI-WIP,Completed,Replenishment,12/2/22 05:43 AM,12/2/22 05:44 AM,12/2/22 05:44 AM,00:03,0
12024,Linde 11,Linde 11,Assembly-11,77300-T20-A010-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 05:32 AM,12/2/22 05:43 AM,12/2/22 05:43 AM,00:01,0
12023,Linde 11,Linde 11,Assembly-5,84101-T20-A110-M1-NH900L-HMI,Completed,Container Move,12/2/22 05:15 AM,12/2/22 05:31 AM,12/2/22 05:31 AM,00:02,0
12022,Linde 11,Linde 11,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 05:10 AM,12/2/22 05:31 AM,12/2/22 05:31 AM,00:02,0
12021,Linde 11,Linde 11,Assembly-11,77380-T20-A010-M1-NH900L-HMI,Completed,F/G Put Away,12/2/22 04:49 AM,12/2/22 05:31 AM,12/2/22 05:31 AM,00:03,0
