Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
10457,Linde 15,Linde 15,Assembly-4,84151-T20-A115-C1-NH900L-WIP,Completed,Replenishment,11/25/22 12:29 PM,11/25/22 01:13 PM,11/25/22 01:13 PM,00:01,0
10456,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/25/22 12:29 PM,11/25/22 01:13 PM,11/25/22 01:13 PM,00:01,0
10455,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/25/22 12:25 PM,11/25/22 01:13 PM,11/25/22 01:13 PM,00:01,0
10454,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HMI,Completed,F/G Put Away,11/25/22 12:22 PM,11/25/22 01:13 PM,11/25/22 01:13 PM,00:02,0
10453,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/25/22 12:20 PM,11/25/22 01:10 PM,11/25/22 01:10 PM,00:01,0
10452,Linde 15,Linde 15,Assembly-6,84161-T20-A012-21-NH900L-WIP,Completed,Replenishment,11/25/22 12:17 PM,11/25/22 01:10 PM,11/25/22 01:10 PM,00:01,0
10451,,,Assembly-17,74111-T20-A004-WIP,Completed,Replenishment,11/25/22 12:15 PM,,11/25/22 01:13 PM,,0
10450,,,Assembly-11,77380-T20-A010-M1-NH900L-HMI,Completed,F/G Put Away,11/25/22 12:15 PM,,11/25/22 01:13 PM,,0
10449,Linde 15,Linde 15,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/25/22 12:15 PM,11/25/22 01:04 PM,11/25/22 01:04 PM,00:04,0
10448,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/25/22 12:10 PM,11/25/22 01:03 PM,11/25/22 01:03 PM,00:01,0
10447,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HMI,Completed,F/G Put Away,11/25/22 12:10 PM,11/25/22 01:03 PM,11/25/22 01:03 PM,00:01,0
